axis,fold,region,formula,E,a,b,b_log,c,h,fom_med,gamma
indomain_AK,0,Alaska,F1k1,1.5733794682552538,,,,,,,
indomain_AK,0,Alaska,F1k2,1.309566541820993,9.701237949822062,,,,,,
indomain_AK,0,Alaska,F2k2,,2.8153414256990708,0.41957976184443485,0.4121662273317172,,,,
indomain_AK,0,Alaska,F3k2,,31.75806906142808,0.018762897623232595,,,,,
indomain_AK,0,Alaska,F4k2,,64.58628918731839,2.126287063372028,,,,,
indomain_AK,0,Alaska,F5k0,,,,,,,,
indomain_AK,0,Alaska,F5k1,,,,,0.5477540432671758,,,
indomain_AK,0,Alaska,F5k2,,23.230332899913872,,,0.32983655431499864,,,
indomain_AK,0,Alaska,F6k0,,,,,,,,
indomain_AK,0,Alaska,F6k1,,,,,0.678391804052993,,,
indomain_AK,0,Alaska,F6k2,,32.17257495228813,,,0.27952822431071894,,,
indomain_AK,0,Alaska,F7k1,1.554190659372498,,,,,,,
indomain_AK,0,Alaska,F7k2,1.5491828805712886,0.18614780393873442,,,,,,
indomain_AK,0,Alaska,F8k2,1.5368391359582716,,,,,1.4975178633903103,0.4254832,
indomain_AK,0,Alaska,F9k2,1.4954372318874984,,,,,,,0.05852506438889412
indomain_AK,0,Alaska,F10k2,1.6299424380240073,,,,,,,-0.716777149562825
indomain_AK,1,Alaska,F1k1,1.624858225419867,,,,,,,
indomain_AK,1,Alaska,F1k2,1.1432618595078157,14.919687105317667,,,,,,
indomain_AK,1,Alaska,F2k2,,4.569223714870158,0.350482384776384,0.3273896378135427,,,,
indomain_AK,1,Alaska,F3k2,,31.6006750223376,0.01825913933385229,,,,,
indomain_AK,1,Alaska,F4k2,,63.43009825921885,2.5265340580020577,,,,,
indomain_AK,1,Alaska,F5k0,,,,,,,,
indomain_AK,1,Alaska,F5k1,,,,,0.593722332948118,,,
indomain_AK,1,Alaska,F5k2,,24.50204880951515,,,0.30918206046153845,,,
indomain_AK,1,Alaska,F6k0,,,,,,,,
indomain_AK,1,Alaska,F6k1,,,,,0.7398778218437846,,,
indomain_AK,1,Alaska,F6k2,,29.817241847549816,,,0.30605416390847795,,,
indomain_AK,1,Alaska,F7k1,1.5352472014440532,,,,,,,
indomain_AK,1,Alaska,F7k2,1.5693671195500822,-1.1036502147562133,,,,,,
indomain_AK,1,Alaska,F8k2,1.520131790687595,,,,,4.417402963800047,0.4504812,
indomain_AK,1,Alaska,F9k2,1.3339531111891882,,,,,,,0.16766419857016077
indomain_AK,1,Alaska,F10k2,1.7242975803583378,,,,,,,-1.0958457427358763
indomain_AK,2,Alaska,F1k1,1.6269999259931567,,,,,,,
indomain_AK,2,Alaska,F1k2,1.2322196188515724,13.165635299371608,,,,,,
indomain_AK,2,Alaska,F2k2,,4.0445294027880045,0.37125731461619327,0.3633287053366872,,,,
indomain_AK,2,Alaska,F3k2,,31.176769788938685,0.019297055912167217,,,,,
indomain_AK,2,Alaska,F4k2,,64.19002880842122,2.760548668879655,,,,,
indomain_AK,2,Alaska,F5k0,,,,,,,,
indomain_AK,2,Alaska,F5k1,,,,,0.5714244896894023,,,
indomain_AK,2,Alaska,F5k2,,23.600812912137258,,,0.3278790828828442,,,
indomain_AK,2,Alaska,F6k0,,,,,,,,
indomain_AK,2,Alaska,F6k1,,,,,0.7278729602770295,,,
indomain_AK,2,Alaska,F6k2,,29.88807914635234,,,0.307581228742791,,,
indomain_AK,2,Alaska,F7k1,1.5492132060504002,,,,,,,
indomain_AK,2,Alaska,F7k2,1.6130996907551067,-2.201436064211622,,,,,,
indomain_AK,2,Alaska,F8k2,1.5226439186733838,,,,,4.598415742307546,0.4504812,
indomain_AK,2,Alaska,F9k2,1.4069794808284437,,,,,,,0.14880547332966815
indomain_AK,2,Alaska,F10k2,1.6818249224580277,,,,,,,-0.7121083227919732
indomain_AK,3,Alaska,F1k1,1.6515893063003515,,,,,,,
indomain_AK,3,Alaska,F1k2,1.2613585674953227,12.193930695651174,,,,,,
indomain_AK,3,Alaska,F2k2,,3.7542026377433686,0.38166168164483494,0.35723362284150495,,,,
indomain_AK,3,Alaska,F3k2,,30.685087216193494,0.019989896343920458,,,,,
indomain_AK,3,Alaska,F4k2,,65.6863743492974,2.802802024497473,,,,,
indomain_AK,3,Alaska,F5k0,,,,,,,,
indomain_AK,3,Alaska,F5k1,,,,,0.6013909509130181,,,
